CountryName,AccessElec,AgriLand,ArableLand,BirthRate,DeathRate,FertilityRate,FixedTelephone,ForestArea,GDP,GDPGrowth,GDPperCapita,HealthExpPerCapita,HealthExpPrivate,HealthExpPublic,HealthExpTotal,ImmunizationDPT,ImmunizationMeasles,MigrantStock,InternetUsers,LifeExp,MobileCellular,PollutionExposure,PopuDensity,PopGrowth,RuralPop,RuralPopGrowth,UrbanPop,UrbanPopGrowth
Albania,100.0,43.8430656934307,22.846715328467198,12.607000000000001,6.596,1.7409999999999999,10.573043826899301,28.332116788321198,1239644584736.05,3.70999999999992,3604.0797722537895,200.44179241,2.85846581012459,2.4765688598754103,5.33503467,99.0,99.0,3.0588862902121203,45.0,76.97851219512201,85.46824699704109,100.0,106.31463503649599,-0.49646196338738,47.836999999999996,-2.7432914932117005,52.163000000000004,1.6093732644722398
Armenia,99.8,60.9413417632596,15.753424657534199,13.83,8.738,1.6480000000000001,19.9865294233567,11.6262732701089,3460202700000.0,2.1999999991457004,1997.05226101941,143.06442355,2.63954666590834,1.92271239409166,4.56225906,94.0,97.0,10.939242030358699,25.0,74.2263414634146,130.43223274132998,100.0,104.091886195996,-0.0881003240332919,36.42,0.487424816662534,63.58,-0.41628748109029
Austria,100.0,38.575235280580394,16.5186952677414,9.4,9.2,1.44,40.44311755259871,46.7533096740592,294627500000.0,1.92867305613767,40119.0830118365,5033.42233611,2.7295709054126,8.3999895745874,11.12956048,83.0,76.0,15.6660852447161,75.17,80.58048780487809,145.692819882684,96.3814499978695,101.29969355991301,0.240394299500766,34.148,0.225749951713248,65.852,0.247989068758886
Azerbaijan,99.5,57.670344560588504,22.7944734804491,18.3,5.9,1.92,16.5654943891608,12.198751451800199,42465000000.0,4.85433932383958,3126.72404038035,310.32538288,4.16557937651887,1.16802072348113,5.3336001,81.0,89.0,2.9150687206963504,46.0,70.4502926829268,100.059320146045,100.0,109.542344173442,1.18978770786007,46.599,0.738017050034006,53.401,1.58568813937793
Belarus,100.0,43.85411532774771,27.2794480039428,11.4,14.4,1.44,43.605199413764716,42.060128141941796,164476100000000.0,7.74078121556398,4524.1581679110795,322.57821191,1.23939854583795,4.31480554416205,5.55420409,98.0,99.0,11.4897576396207,31.8,70.4048780487805,108.869705944641,98.2818332669737,46.77180877279451,-0.178975675505685,25.385,-1.90907069619724,74.615,0.416515844762101
Belgium,100.0,44.8150594451783,27.5429326287979,11.9,9.6,1.86,42.406159128614505,22.4966974900925,365101000000.0,2.6948255377054,38006.9012219214,4589.87800294,2.6381498709899,7.919523859010099,10.55767373,98.0,95.0,8.9269662880192,75.0,80.2341463414634,111.08418862568999,100.0,360.643064729194,1.1399519257183,2.35899999999999,-0.8330594997635229,97.641,1.18810465311873
Bosnia and Herzegovina,99.7,41.875,19.609375,9.272,9.831,1.288,25.9655079435944,42.67578125,24878693000.0,0.8420330572199929,3324.7555993091805,427.45797252,2.8418683184274705,6.91663317157253,9.75850149,89.0,91.0,0.724331974537306,42.75,75.8076829268293,80.87078570613241,100.0,74.9073828125,-0.0644859457847105,60.773999999999994,-0.135181708762218,39.226,0.0451439211139236
Bulgaria,100.0,46.5364775239499,29.347826086956506,10.2,14.9,1.57,29.289575629214397,34.4233603537214,73780127000.0,0.054557983103237,4692.729960429821,487.52086456,3.35916138179291,4.2212570482070895,7.58041843,94.0,97.0,1.45011918574817,46.23,73.5121951219512,138.038982701046,100.0,68.1245302137067,-0.658275446635908,27.698,-1.87473860071511,72.30199999999999,-0.188314947521282
Croatia,100.0,23.8348820586133,16.1615439599714,9.8,11.8,1.55,43.0086995770197,34.3102215868478,328040520200.0,-1.7012497631566,10523.9000135234,1143.91144845,1.19835417751444,7.157332582485559,8.35568676,97.0,96.0,15.8438591682114,56.55,76.4756097560976,113.608144900896,99.9028319048073,78.945335954253,-0.255390215675652,42.463,-0.842425611667415,57.537,0.18006972573796
Cyprus,100.0,12.337662337662303,8.885281385281381,11.689,6.8020000000000005,1.4809999999999999,37.43749348772521,18.7056277056277,19062940000.0,1.39064405751216,24852.373674759503,2050.17484614,3.81134091441086,3.46511547558914,7.27645639,99.0,87.0,13.976179797677801,52.99,79.3819512195122,93.69258438775559,100.0,119.44642857142901,1.20311126252162,32.449,1.64780190670387,67.551,0.990199186994953
